Year,Geography,Geographic Area Name,Households Estimate Total,Families Estimate Total,Married-Couple Families Estimate Total,Nonfamily Households Estimate Total,"Households Estimate Less Than $10,000","Families Estimate Less Than $10,000","Married-Couple Families Estimate Less Than $10,000","Nonfamily Households Estimate Less Than $10,000","Households Estimate $10,000 To $14,999","Families Estimate $10,000 To $14,999","Married-Couple Families Estimate $10,000 To $14,999","Nonfamily Households Estimate $10,000 To $14,999","Households Estimate $15,000 To $24,999","Families Estimate $15,000 To $24,999","Married-Couple Families Estimate $15,000 To $24,999","Nonfamily Households Estimate $15,000 To $24,999","Households Estimate $25,000 To $34,999","Families Estimate $25,000 To $34,999","Married-Couple Families Estimate $25,000 To $34,999","Nonfamily Households Estimate $25,000 To $34,999","Households Estimate $35,000 To $49,999","Families Estimate $35,000 To $49,999","Married-Couple Families Estimate $35,000 To $49,999","Nonfamily Households Estimate $35,000 To $49,999","Households Estimate $50,000 To $74,999","Families Estimate $50,000 To $74,999","Married-Couple Families Estimate $50,000 To $74,999","Nonfamily Households Estimate $50,000 To $74,999","Households Estimate $75,000 To $99,999","Families Estimate $75,000 To $99,999","Married-Couple Families Estimate $75,000 To $99,999","Nonfamily Households Estimate $75,000 To $99,999","Households Estimate $100,000 To $149,999","Families Estimate $100,000 To $149,999","Married-Couple Families Estimate $100,000 To $149,999","Nonfamily Households Estimate $100,000 To $149,999","Households Estimate $150,000 To $199,999","Families Estimate $150,000 To $199,999","Married-Couple Families Estimate $150,000 To $199,999","Nonfamily Households Estimate $150,000 To $199,999","Households Estimate $200,000 Or More","Families Estimate $200,000 Or More","Married-Couple Families Estimate $200,000 Or More","Nonfamily Households Estimate $200,000 Or More",Households Estimate Median Income (Dollars),Families Estimate Median Income (Dollars),Married-Couple Families Estimate Median Income (Dollars),Nonfamily Households Estimate Median Income (Dollars),Households Estimate Mean Income (Dollars),Families Estimate Mean Income (Dollars),Married-Couple Families Estimate Mean Income (Dollars),Nonfamily Households Estimate Mean Income (Dollars),Households Estimate Percent Imputed Household Income In The Past 12 Months,Families Estimate Percent Imputed Household Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Household Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Household Income In The Past 12 Months,Households Estimate Percent Imputed Family Income In The Past 12 Months,Families Estimate Percent Imputed Family Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Family Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Family Income In The Past 12 Months,Households Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Families Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Nonfamily Income In The Past 12 Months
2010,0400000US13,Georgia,3468704,2373423,1695331,1095281,8.3,5.4,1.8,15.7,5.7,3.8,1.8,10.6,11.1,9.3,6.1,15.8,11,9.9,7.9,13.7,14.5,14,13,15.2,18.6,19.7,21.3,15.2,11.9,14,17.1,6.5,11.3,14.1,18.1,4.7,3.9,5,6.6,1.3,3.6,4.7,6.3,1.2,49347,58790,72342,30698,66620,76702,91178,42337,30.1,(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),27.2
2010,0400000US15,Hawaii,442267,308525,228429,133742,5.7,3.2,1.4,12.8,3.6,2.1,1.3,7.4,7.6,5.4,3.8,13.4,8.1,6.9,5.2,12,12.1,11.3,9.9,15,19,19.2,19.1,18.2,15,17.2,18.6,9.3,17.2,20.5,23.8,7.7,6.4,7.8,9.4,2.2,5.3,6.4,7.7,1.9,66420,77245,87266,39069,83037,93549,103946,52392,29.9,(X),(X),(X),(X),30.9,(X),(X),(X),(X),(X),24.8
2010,0400000US16,Idaho,570283,399824,324191,170459,6.5,3.9,1.7,14,6,3.5,2.1,12.5,11.9,9,7.1,19.4,12.9,11.7,10.3,16.2,16.3,16.5,16.2,15.1,21,23.6,25.7,13.7,11.8,14.5,16.5,4.6,9,11.4,13.3,3.1,2.5,3.2,3.8,0.6,2.1,2.7,3.2,0.7,46423,54689,61184,27298,59460,67887,74663,37201,22.2,(X),(X),(X),(X),21.6,(X),(X),(X),(X),(X),21.9
2010,0400000US17,Illinois,4769951,3161547,2354273,1608404,6.9,4.2,1.2,13.3,4.8,2.8,1.3,9.3,10.1,7.2,4.6,16.4,9.7,8.4,6.6,12.8,13.5,12.7,11.4,15.1,18.8,19.7,20.3,16.3,13.2,15.6,17.9,7.9,13.5,17,20.8,5.7,4.8,6.3,8,1.6,4.7,6.2,7.9,1.6,55735,68236,80723,33299,75140,88178,102342,46957,27.6,(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),24.7
2010,0400000US18,Indiana,2465402,1657806,1259050,807596,7.2,4.5,1.5,14,5.6,3,1.4,11.4,11.7,8.1,5.1,19.7,12,10.3,8.2,16.1,15.6,15.3,14.6,16,20.1,22.7,24.9,13.7,12.5,15.8,18.8,4.9,10.3,13.7,17,2.9,2.8,3.7,4.7,0.7,2.2,3,3.8,0.6,47697,58944,68911,27712,61285,72100,82725,36725,23.5,(X),(X),(X),(X),23.3,(X),(X),(X),(X),(X),22.7
2010,0400000US19,Iowa,1215954,793842,639628,422112,6.3,3.2,1,13.2,5.9,2.7,1.4,12.2,11.6,7.5,5.1,19.9,11.5,9.3,7.5,16.2,15.9,15.4,14.5,16.4,20.7,24,25.9,13.4,12.9,16.9,19.5,4.9,10.3,14.1,16.9,2.5,2.7,3.7,4.4,0.7,2.3,3.2,3.8,0.6,48872,61804,69718,27539,61833,74383,82925,36142,22.1,(X),(X),(X),(X),21.5,(X),(X),(X),(X),(X),22
2010,0400000US20,Kansas,1101672,730945,573865,370727,6.6,3.6,1.2,13.8,5.4,2.7,1.2,11.3,11.5,7.8,5.1,19.5,11.5,9.4,7.8,15.8,15.5,15,13.9,16.5,19.6,22,23.7,13.7,12.5,16,18.5,4.9,11,14.8,17.8,2.9,3.4,4.7,5.8,0.8,2.9,4,5,0.7,49424,62424,71637,28078,64994,77722,87818,37614,21.5,(X),(X),(X),(X),21.3,(X),(X),(X),(X),(X),20.6
2010,0400000US21,Kentucky,1676708,1128169,849218,548539,10.4,6.4,2.4,20.2,7.5,4.7,3,13.7,13.2,10.7,8.1,18.8,11.9,10.9,9.4,14.2,15,15.3,15.4,14,17.8,20.5,22.9,11.4,10.9,13.9,16.6,4,8.9,11.7,14.7,2.6,2.4,3.2,4.1,0.5,2.1,2.7,3.5,0.6,41576,52046,62092,23316,56009,66166,76469,33085,23.8,(X),(X),(X),(X),23.7,(X),(X),(X),(X),(X),22.9
2010,0400000US22,Louisiana,1641165,1108716,764526,532449,10.1,6.3,1.7,19.5,7.2,4.6,2.1,13.1,12.9,10.8,6.8,17.9,11.4,10.6,8.8,13.3,14.3,14.3,13.8,13.8,17.2,19.1,21.7,12.1,11.1,13.6,17.2,5.2,10.2,13.1,17.4,3.4,3.1,4.1,5.6,0.9,2.7,3.5,4.8,0.9,43445,53702,68693,24649,60003,70357,85591,35912,30.5,(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),26.8
2010,0400000US23,Maine,551125,354133,278439,196992,7.2,3.8,1.2,14.8,6.4,3.1,1.5,13,12.3,9.1,6.6,19,11.5,10.3,8.8,14.4,15.4,15.6,15.2,14.8,20.2,23.4,25.5,13.5,12.3,15.5,17.9,5.7,9.6,12.6,15.1,3.4,2.8,3.8,4.6,0.9,2.1,2.9,3.6,0.6,46933,58185,66076,26931,60036,71146,79812,37165,21.4,(X),(X),(X),(X),21.3,(X),(X),(X),(X),(X),20
2010,0400000US24,Maryland,2121047,1423399,1030665,697648,5,2.8,0.8,10.2,3.3,1.8,0.8,6.9,6.9,4.8,2.7,12,7.7,6.4,4.2,11.2,11.8,10.2,7.9,15.7,18.2,17.5,16,19.3,14.1,15.3,16.5,10.9,17.7,21.3,25.3,9.3,7.9,10.2,13.1,2.7,7.3,9.8,12.9,1.9,70647,85098,101893,43790,91454,106643,124707,56529,25.2,(X),(X),(X),(X),25.9,(X),(X),(X),(X),(X),22
2010,0400000US25,Massachusetts,2512552,1600588,1195409,911964,6.8,3.6,1.1,13.3,5.1,2.7,1.2,9.8,8.5,5.9,3.4,13.6,7.9,6.6,4.8,10.7,11.3,10.2,8.4,13.7,17.1,17.1,16.4,16.9,13.5,15.4,17.1,9.4,16.4,20.5,24.6,8.1,6.8,9,11.3,2.4,6.7,9.1,11.6,2.1,64509,81165,96167,37606,85897,103038,119828,52668,29.2,(X),(X),(X),(X),29.6,(X),(X),(X),(X),(X),27
2010,0400000US26,Michigan,3843997,2553979,1912419,1290018,7.9,5,1.6,15.1,5.7,3.4,1.5,10.7,11.5,8.2,5.3,18.7,11.2,9.4,7.6,14.9,15,14.7,14.1,15.5,19,21,22.7,14.2,12.1,15,17.7,5.8,11.3,14.9,18.5,3.5,3.5,4.8,6.1,0.9,2.8,3.7,4.8,0.7,48432,60341,71532,28344,63692,75399,87197,38459,25.4,(X),(X),(X),(X),25.4,(X),(X),(X),(X),(X),24.1
2010,0400000US27,Minnesota,2085917,1358178,1082905,727739,5.7,3,0.9,11.7,4.8,2.3,1.2,9.9,9.4,6,3.9,16.4,9.6,7.6,5.8,13.8,14,12.5,11.1,16.9,20.1,21.5,22.2,16.7,14.3,17.5,19.8,7.3,13.7,18,21.3,4.9,4.5,6.1,7.3,1.2,4,5.4,6.6,1.1,57243,71307,80814,33431,73561,87853,98520,44200,21.2,(X),(X),(X),(X),21,(X),(X),(X),(X),(X),20.2
2010,0400000US28,Mississippi,1081052,749274,506210,331778,11.6,7.4,2.2,22.7,8.4,5.8,2.7,15.2,14.6,12.9,8.7,19.2,12.1,11.5,9.7,13.3,14.5,15.1,15.5,12.5,16.9,19.5,23.5,10,9.8,12.3,16.2,3.7,8,10.3,14.2,2.3,2.2,2.8,4,0.6,1.8,2.4,3.3,0.6,37881,47031,60744,20841,52484,61026,74877,31070,29.7,(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),26.2
2010,0400000US29,Missouri,2349955,1546509,1171854,803446,7.9,4.7,1.5,15.5,6.2,3.3,1.7,12,12.1,8.9,6.1,19,11.9,10.4,8.5,15.1,15.4,15.3,14.7,15.4,19.2,21.9,23.8,13.1,11.7,14.8,17.5,5,10.2,13.4,16.7,3.3,3,4,5.1,0.8,2.5,3.4,4.3,0.7,46262,57661,67656,26966,61238,72756,83562,36940,25.3,(X),(X),(X),(X),25.6,(X),(X),(X),(X),(X),23.4
2010,0400000US30,Montana,401328,256130,207111,145198,7.6,4.6,2,14.6,6.6,3.2,1.9,13.2,13.3,9.6,7.2,20.4,12.4,10.5,9.1,16,16.1,16.1,16.1,15.4,19.4,23,25.1,12.2,11.4,15.3,17.6,4.3,8.9,11.9,14.1,2.6,2.3,3.2,3.8,0.7,1.9,2.6,3.1,0.6,43872,55725,62796,25972,56886,68016,75452,35139,25,(X),(X),(X),(X),25.3,(X),(X),(X),(X),(X),22.8
2010,0400000US31,Nebraska,711771,467250,372381,244521,6.4,3.4,1,13.2,5.8,2.8,1.4,12.1,11.5,7.7,5.2,19.5,11.7,9.3,7.6,16.7,15.2,14.8,13.9,15.8,20.6,23.8,25.7,13.5,12.8,16.5,19,5,10.8,14.6,17.5,2.8,2.8,3.9,4.7,0.7,2.4,3.3,4,0.7,49342,61888,69944,27833,62707,74985,83878,37082,22.3,(X),(X),(X),(X),22.3,(X),(X),(X),(X),(X),21.2
2010,0400000US32,Nevada,979621,642900,464193,336721,5.7,4,1.5,10.5,4,2.4,1.4,7.4,9.6,7.2,5,15.2,10.6,9.5,7.4,13.6,14.6,13.7,12.3,16.5,20.9,21.8,22.4,18.2,13.8,16,18.5,8.5,13.2,16.1,19.7,6.5,4.2,5.1,6.5,1.9,3.5,4.2,5.3,1.7,55726,64418,75072,37722,72112,80889,92515,50999,26.1,(X),(X),(X),(X),26.2,(X),(X),(X),(X),(X),24
2010,0400000US33,New Hampshire,513804,346128,278291,167676,4.6,2.5,0.7,10.4,4,1.7,0.8,9.1,8.3,5.2,3.3,15.5,8.9,6.9,5.5,13.4,13.4,12.1,10.6,16.6,19.5,20.5,20.3,17,14.8,17.5,19.3,8.4,16.3,20.4,23.6,6.4,5.7,7.4,8.9,1.8,4.5,5.8,7,1.5,63277,76446,85872,36345,79105,91940,101917,48974,25.7,(X),(X),(X),(X),25.2,(X),(X),(X),(X),(X),24.9
2010,0400000US34,New Jersey,3176069,2198650,1642649,977419,5.3,3.1,1,11,4,2.1,1,8.6,7.9,5.5,3.4,14.3,7.9,6.4,4.6,11.8,11.2,10,8.1,14.1,16.9,16.6,15.6,17.3,13.5,14.9,15.9,9.8,17.3,20.8,24.4,8.2,7.8,10,12.4,2.5,8.2,10.7,13.6,2.4,69811,84904,100572,39306,93475,109067,126200,54673,28.9,(X),(X),(X),(X),29.6,(X),(X),(X),(X),(X),25.9
2010,0400000US35,New Mexico,756112,497372,353018,258740,9.3,6.1,2.3,17.3,6.6,4.4,2.6,11.4,12.8,11.2,8.2,16.5,11.9,10.9,9.1,14.2,15.2,14.9,14.3,15.3,17.9,19.5,21.6,13.4,10.9,13,15.9,5.9,10,12.8,16.4,4,3.2,4.1,5.4,1.1,2.4,3.1,4.1,0.9,43820,52565,64734,28046,59223,68180,80198,39199,25.5,(X),(X),(X),(X),26.5,(X),(X),(X),(X),(X),21.8
2010,0400000US36,New York,7205740,4656115,3257225,2549625,8.1,5,1.6,14.9,5.3,3.5,1.9,9.1,10,7.8,5.3,14.6,9.4,8.5,6.6,11.7,12.6,12.3,10.8,13.3,17.4,18,18.5,15.5,12.2,13.9,15.8,8.4,13.5,16.5,20.4,7.1,5.5,6.9,8.9,2.5,6.1,7.6,10.2,3,55603,67405,82669,34776,80374,93102,111155,53883,31.1,(X),(X),(X),(X),32.6,(X),(X),(X),(X),(X),26.7
2010,0400000US37,North Carolina,3626179,2422692,1795126,1203487,8.5,5.1,1.6,16.4,6.3,3.8,1.9,11.9,12.1,9.8,6.8,17.6,11.9,10.7,8.6,14.6,15.2,15,14.3,15.6,18.6,20.9,23.2,13.2,11.3,13.9,16.9,5.4,9.9,12.9,16.4,3.4,3.1,4.1,5.3,0.9,2.9,3.9,5.1,0.9,45570,56153,67555,27473,61781,72592,84983,38049,26.3,(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),23.9
2010,0400000US38,North Dakota,276642,170477,139784,106165,7.9,3.5,1.3,15.8,6.4,2.7,1.6,12.5,11.8,7.3,5.1,19.5,11.8,9.1,7.3,16.6,15,14.7,13.7,15.3,19.9,24,26.1,12.7,12.6,17.6,20.2,4,9.9,14.3,16.9,2.4,2.3,3.4,4.1,0.5,2.3,3.3,3.8,0.7,46781,62920,69952,26089,60581,75645,83619,34769,24,(X),(X),(X),(X),24,(X),(X),(X),(X),(X),23.1
2010,0400000US39,Ohio,4552270,2983500,2221246,1568770,8.2,5.1,1.4,15.3,5.9,3.2,1.4,11.4,11.7,8.1,5.1,19.3,11.4,9.7,7.9,15,15.2,14.9,14.2,15.5,19.2,21.8,23.7,13.5,12,15.2,18.3,5.2,10.6,14.1,17.8,3.3,3.2,4.4,5.6,0.8,2.6,3.5,4.6,0.7,47358,59680,70937,27366,62205,74164,86431,37331,23.4,(X),(X),(X),(X),23.4,(X),(X),(X),(X),(X),22.2
2010,0400000US40,Oklahoma,1421705,951242,717547,470463,8.7,5.3,1.8,17.2,6.7,3.9,2.2,12.8,13.2,10.4,7.5,19.5,12.4,11,9.4,15.4,15.6,15.7,15.4,14.8,18.8,21.7,24.2,11.8,10.8,13.8,16.6,4.4,9,11.8,14.7,2.7,2.5,3.4,4.3,0.7,2.3,3,3.9,0.7,42979,53607,63254,25292,58099,68677,79172,34803,24.9,(X),(X),(X),(X),25.4,(X),(X),(X),(X),(X),22.6
2010,0400000US41,Oregon,1499267,957115,743432,542152,7.1,4.4,1.6,13.5,5.6,3.1,1.6,10.6,11.4,8.3,5.9,17.7,11.4,9.8,8.2,14.4,15.1,14.6,13.9,15.7,19.5,21.6,23.1,15,12.3,15.2,17.6,6.2,11.2,14.4,17.4,4.6,3.4,4.5,5.6,1.2,3,4,5,1.1,49260,60402,69733,30525,64554,75934,86054,41644,22.2,(X),(X),(X),(X),22.1,(X),(X),(X),(X),(X),20.7
2010,0400000US42,Pennsylvania,4940581,3231021,2445083,1709560,7.3,4,1.2,14.5,5.9,2.9,1.4,11.9,11.3,7.6,5,19,10.9,9.4,7.5,14.3,14.3,14.1,13.1,14.6,19,21.4,22.7,13.8,12.4,15.3,17.7,6,11.7,15.4,18.8,3.9,3.8,5.1,6.5,1.1,3.5,4.8,6.1,1,50398,63364,73922,27887,67282,80704,92480,39573,26.2,(X),(X),(X),(X),26.3,(X),(X),(X),(X),(X),24.8
2010,0400000US44,Rhode Island,410305,258572,188025,151733,7.7,3.8,1,15.1,5.9,2.9,1.2,11.4,10.1,7.1,4.4,15.9,9.3,8.3,6.3,11.7,12.7,12.1,10.6,13.8,17.9,18.6,19.1,16.2,13.8,16.7,19.4,8.2,13.9,18.4,22.6,5.2,4.7,6.5,8.3,1.4,3.9,5.5,7.1,1.2,54902,70663,83876,31376,71934,86486,100471,44372,30.5,(X),(X),(X),(X),31.2,(X),(X),(X),(X),(X),28.1
2010,0400000US45,South Carolina,1741994,1173912,840815,568082,9.3,5.9,1.8,17.6,6.5,3.9,1.9,12.4,12.7,10.4,6.7,18.4,12,10.7,8.5,14.7,15.1,15,14.4,15,18.4,20.7,23.6,12.6,11.4,14.2,17.7,4.9,9.5,12.3,16.1,3,2.7,3.7,4.9,0.8,2.4,3.2,4.2,0.7,43939,54223,66954,26035,58941,69172,82501,35688,30.3,(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),27.8
2010,0400000US46,South Dakota,315468,205879,164007,109589,7.5,4,1.5,15.2,6.1,2.9,1.4,12.8,11.8,8.2,5.3,19.6,12.5,10.2,7.9,17.5,15.7,15.2,14.7,16,20.8,25,27.8,11.5,12.4,16.4,19.5,4,8.8,12,14.5,2.2,2.2,3,3.6,0.6,2.3,3.2,3.8,0.6,46369,58958,66724,26227,59729,72049,81220,34380,21.1,(X),(X),(X),(X),21.7,(X),(X),(X),(X),(X),19.1
2010,0400000US47,Tennessee,2443475,1644905,1217962,798570,9.3,5.8,2,18,6.8,4.2,2.3,12.6,12.7,10.2,7.4,18.4,12.2,10.9,9.2,14.9,15.4,15.5,15.1,14.8,18.5,21.1,23.6,12.4,10.7,13.4,16.3,4.6,8.9,11.6,14.7,2.7,2.7,3.6,4.6,0.8,2.7,3.6,4.7,0.8,43314,53246,63921,25589,59212,69725,81490,35575,26.3,(X),(X),(X),(X),26.7,(X),(X),(X),(X),(X),24.3
2010,0400000US48,Texas,8539206,5992178,4386385,2547028,7.7,5.2,1.9,15.3,5.7,4,2.3,10.1,11.4,9.8,7.1,15.9,11.1,10.3,8.6,13.5,14.3,13.8,12.9,15.4,18.1,18.9,20.1,15.1,11.7,13.5,15.9,6.7,11.7,14.2,17.8,5,4.1,5.2,6.7,1.5,4,5.1,6.6,1.4,49646,58142,70916,31155,68700,78037,91404,43876,26.4,(X),(X),(X),(X),27.1,(X),(X),(X),(X),(X),23.4
2010,0400000US49,Utah,859158,646050,532624,213108,4.9,3.1,1.4,11.9,4,2.3,1.4,9.6,8.9,6.6,5.1,17,10.1,8.7,7.5,14.7,15.6,15.2,14.3,17.2,22.1,23.7,24.8,16.6,14.4,16.7,18.3,6.4,13.2,15.6,17.7,4.8,3.7,4.5,5.2,1,3,3.7,4.3,0.8,56330,64013,69817,32535,70375,78490,85190,42454,22.7,(X),(X),(X),(X),22,(X),(X),(X),(X),(X),22.7
2010,0400000US50,Vermont,256612,162752,127775,93860,6.1,3.2,0.9,12.6,5.7,2.6,1.4,11.5,11,7.4,4.9,18.1,10.4,8.8,7,14,15,14.4,13.1,15.9,20.8,23,24.5,15.9,13.3,16.8,19.4,6.2,11.5,15.4,18.6,3.9,3.4,4.7,5.7,1,2.8,3.7,4.6,0.9,51841,64135,72966,30315,65886,78467,88190,40893,23.7,(X),(X),(X),(X),23.4,(X),(X),(X),(X),(X),22.5
