Acsst5Y2010.S0101-Data.1.2,Geography,Geographic Area Name,Total  Estimate  Total Population,Male  Estimate  Total Population,Female  Estimate  Total Population,Total  Estimate  Age Under 5 Years,Male  Estimate  Age Under 5 Years,Female  Estimate  Age Under 5 Years,Total  Estimate  Age 5 To 9 Years,Male  Estimate  Age 5 To 9 Years,Female  Estimate  Age 5 To 9 Years,Total  Estimate  Age 10 To 14 Years,Male  Estimate  Age 10 To 14 Years,Female  Estimate  Age 10 To 14 Years,Total  Estimate  Age 15 To 19 Years,Male  Estimate  Age 15 To 19 Years,Female  Estimate  Age 15 To 19 Years,Total  Estimate  Age 20 To 24 Years,Male  Estimate  Age 20 To 24 Years,Female  Estimate  Age 20 To 24 Years,Total  Estimate  Age 25 To 29 Years,Male  Estimate  Age 25 To 29 Years,Female  Estimate  Age 25 To 29 Years,Total  Estimate  Age 30 To 34 Years,Male  Estimate  Age 30 To 34 Years,Female  Estimate  Age 30 To 34 Years,Total  Estimate  Age 35 To 39 Years,Male  Estimate  Age 35 To 39 Years,Female  Estimate  Age 35 To 39 Years,Total  Estimate  Age 40 To 44 Years,Male  Estimate  Age 40 To 44 Years,Female  Estimate  Age 40 To 44 Years,Total  Estimate  Age 45 To 49 Years,Male  Estimate  Age 45 To 49 Years,Female  Estimate  Age 45 To 49 Years,Total  Estimate  Age 50 To 54 Years,Male  Estimate  Age 50 To 54 Years,Female  Estimate  Age 50 To 54 Years,Total  Estimate  Age 55 To 59 Years,Male  Estimate  Age 55 To 59 Years,Female  Estimate  Age 55 To 59 Years,Total  Estimate  Age 60 To 64 Years,Male  Estimate  Age 60 To 64 Years,Female  Estimate  Age 60 To 64 Years,Total  Estimate  Age 65 To 69 Years,Male  Estimate  Age 65 To 69 Years,Female  Estimate  Age 65 To 69 Years,Total  Estimate  Age 70 To 74 Years,Male  Estimate  Age 70 To 74 Years,Female  Estimate  Age 70 To 74 Years,Total  Estimate  Age 75 To 79 Years,Male  Estimate  Age 75 To 79 Years,Female  Estimate  Age 75 To 79 Years,Total  Estimate  Age 80 To 84 Years,Male  Estimate  Age 80 To 84 Years,Female  Estimate  Age 80 To 84 Years,Total  Estimate  Age 85 Years And Over,Male  Estimate  Age 85 Years And Over,Female  Estimate  Age 85 Years And Over,Total  Estimate  Selected Age Categories 5 To 14 Years,Male  Estimate  Selected Age Categories 5 To 14 Years,Female  Estimate  Selected Age Categories 5 To 14 Years,Total  Estimate  Selected Age Categories 15 To 17 Years,Male  Estimate  Selected Age Categories 15 To 17 Years,Female  Estimate  Selected Age Categories 15 To 17 Years,Total  Estimate  Selected Age Categories 18 To 24 Years,Male  Estimate  Selected Age Categories 18 To 24 Years,Female  Estimate  Selected Age Categories 18 To 24 Years,Total  Estimate  Selected Age Categories 15 To 44 Years,Male  Estimate  Selected Age Categories 15 To 44 Years,Female  Estimate  Selected Age Categories 15 To 44 Years,Total  Estimate  Selected Age Categories 16 Years And Over,Male  Estimate  Selected Age Categories 16 Years And Over,Female  Estimate  Selected Age Categories 16 Years And Over,Total  Estimate  Selected Age Categories 18 Years And Over,Male  Estimate  Selected Age Categories 18 Years And Over,Female  Estimate  Selected Age Categories 18 Years And Over,Total  Estimate  Selected Age Categories 60 Years And Over,Male  Estimate  Selected Age Categories 60 Years And Over,Female  Estimate  Selected Age Categories 60 Years And Over,Total  Estimate  Selected Age Categories 62 Years And Over,Male  Estimate  Selected Age Categories 62 Years And Over,Female  Estimate  Selected Age Categories 62 Years And Over,Total  Estimate  Selected Age Categories 65 Years And Over,Male  Estimate  Selected Age Categories 65 Years And Over,Female  Estimate  Selected Age Categories 65 Years And Over,Total  Estimate  Selected Age Categories 75 Years And Over,Male  Estimate  Selected Age Categories 75 Years And Over,Female  Estimate  Selected Age Categories 75 Years And Over,Total  Estimate  Summary Indicators Median Age (Years),Male  Estimate  Summary Indicators Median Age (Years),Female  Estimate  Summary Indicators Median Age (Years),Total  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Male  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Female  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Total  Estimate  Summary Indicators Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Total  Estimate  Percent Imputed Sex,Male  Estimate  Percent Imputed Sex,Female  Estimate  Percent Imputed Sex,Total  Estimate  Percent Imputed Age,Male  Estimate  Percent Imputed Age,Female  Estimate  Percent Imputed Age
2010,0400000US13,Georgia,9468815,4626914,4841901,7.3,7.6,7,7.2,7.5,6.9,7.1,7.4,6.8,7.5,7.9,7.2,7,7.3,6.7,7,7.1,7,6.9,6.9,6.8,7.5,7.5,7.4,7.5,7.6,7.5,7.4,7.4,7.4,6.7,6.7,6.8,5.8,5.7,5.9,4.8,4.6,4.9,3.4,3.3,3.6,2.5,2.3,2.7,1.9,1.6,2.1,1.3,1,1.6,1.2,0.7,1.6,14.3,15,13.7,4.4,4.6,4.2,10.1,10.5,9.7,43.4,44.3,42.6,77,75.9,78,74,72.8,75.1,15,13.4,16.6,12.9,11.3,14.5,10.3,8.8,11.7,4.3,3.3,5.4,35,33.7,36.1,95.6,(X),(X),56.9,(X),(X),16.1,(X),(X),40.8,(X),(X),0.2,(X),(X),1.2,(X),(X)
2010,0400000US15,Hawaii,1333591,668202,665389,6.5,6.7,6.3,5.9,6.1,5.7,6.2,6.3,6.1,6.5,6.7,6.2,7.2,7.8,6.5,7.2,7.4,6.9,6.3,6.5,6.2,6.6,6.7,6.5,6.8,6.8,6.9,7.2,7.2,7.2,7.3,7.2,7.3,6.6,6.6,6.7,5.8,5.7,5.8,4,3.9,4,3.1,2.7,3.4,2.7,2.4,3.1,2.2,1.7,2.6,2.1,1.5,2.6,12.1,12.4,11.8,3.9,4,3.8,9.7,10.5,8.9,40.5,41.9,39.2,80.1,79.5,80.7,77.4,76.8,78.1,19.7,18,21.5,17.2,15.4,19,14,12.3,15.7,6.9,5.6,8.3,38.2,36.9,39.7,100.4,(X),(X),57.5,(X),(X),22,(X),(X),35.5,(X),(X),0.3,(X),(X),1.7,(X),(X)
2010,0400000US16,Idaho,1526797,764429,762368,7.8,8,7.6,7.6,7.6,7.6,7.5,7.9,7.2,7.6,7.7,7.4,7.1,7.3,7,6.8,7,6.7,6.3,6.5,6.2,6.3,6.4,6.2,6.4,6.4,6.3,6.9,6.8,6.9,6.7,6.6,6.8,6,5.9,6.1,5,5,5,3.8,3.7,3.9,2.8,2.8,2.9,2.2,1.9,2.4,1.7,1.5,1.9,1.5,1.1,2,15.1,15.4,14.7,4.6,4.7,4.4,10.1,10.3,10,40.5,41.2,39.8,75.6,75,76.1,72.5,71.8,73.2,17,16,18,14.7,13.7,15.7,12,11,13,5.4,4.5,6.3,34.4,33.5,35.3,100.3,(X),(X),65.1,(X),(X),19.8,(X),(X),45.3,(X),(X),0.2,(X),(X),0.7,(X),(X)
2010,0400000US17,Illinois,12745359,6250352,6495007,6.6,6.9,6.4,6.8,7,6.5,6.9,7.3,6.6,7.3,7.7,7,6.9,7.2,6.6,7.1,7.3,6.9,6.7,6.9,6.5,6.8,7,6.7,7.1,7.2,7.1,7.5,7.5,7.4,7.1,7,7.1,6.1,6,6.2,4.8,4.7,4.9,3.6,3.4,3.8,2.8,2.5,3,2.3,2,2.6,1.8,1.5,2.2,1.8,1.1,2.4,13.7,14.3,13.2,4.4,4.6,4.2,9.8,10.2,9.3,41.9,43.1,40.8,78.2,77.3,79.1,75.3,74.2,76.3,17.1,15.1,19,15,13.1,16.8,12.3,10.5,14.1,5.9,4.5,7.3,36.2,34.9,37.6,96.2,(X),(X),58.8,(X),(X),19.5,(X),(X),39.3,(X),(X),0.2,(X),(X),1,(X),(X)
2010,0400000US18,Indiana,6417398,3155214,3262184,6.8,7,6.5,6.9,7.2,6.7,7,7.3,6.7,7.4,7.7,7.1,7,7.2,6.8,6.5,6.7,6.4,6.3,6.4,6.1,6.6,6.8,6.4,6.9,7,6.9,7.5,7.5,7.4,7.1,7.2,7.1,6.3,6.2,6.3,5,4.9,5.1,3.8,3.6,3.9,2.9,2.7,3.2,2.4,2.1,2.8,1.9,1.5,2.3,1.7,1,2.3,13.9,14.5,13.4,4.4,4.6,4.2,10,10.4,9.7,40.7,41.8,39.7,77.9,77,78.7,75,73.9,75.9,17.7,15.8,19.6,15.5,13.6,17.3,12.7,10.9,14.5,6,4.6,7.4,36.6,35.3,37.9,96.7,(X),(X),60.6,(X),(X),20.4,(X),(X),40.2,(X),(X),0.2,(X),(X),0.7,(X),(X)
2010,0400000US19,Iowa,3016267,1488998,1527269,6.6,6.8,6.3,6.6,6.8,6.4,6.6,7,6.3,7.3,7.5,7,7.1,7.4,6.9,6.3,6.5,6.1,5.9,6.1,5.8,6.1,6.1,6,6.5,6.7,6.3,7.4,7.4,7.3,7.3,7.4,7.1,6.5,6.6,6.4,5.1,5.1,5.1,3.9,3.7,4.1,3.3,3.1,3.5,2.9,2.5,3.2,2.4,1.9,2.9,2.4,1.5,3.2,13.2,13.7,12.7,4.2,4.4,4.1,10.2,10.6,9.8,39.2,40.4,38.1,78.8,78.1,79.5,76,75.1,76.9,19.9,17.7,22.1,17.7,15.5,19.8,14.8,12.6,16.9,7.6,5.8,9.3,38,36.6,39.3,97.5,(X),(X),63.4,(X),(X),24.2,(X),(X),39.2,(X),(X),0.2,(X),(X),0.6,(X),(X)
2010,0400000US20,Kansas,2809329,1391010,1418319,7.1,7.2,6.9,7.1,7.3,6.8,7,7.2,6.7,7.4,7.7,7,7.3,7.6,7.1,6.7,6.9,6.5,6.2,6.3,6,6.2,6.4,6.1,6.5,6.6,6.4,7.4,7.4,7.4,7.1,7.1,7.1,6.2,6.2,6.2,4.9,4.8,4.9,3.6,3.4,3.7,2.9,2.7,3.1,2.5,2.1,2.8,2.1,1.7,2.5,2.1,1.4,2.8,14.1,14.6,13.5,4.3,4.5,4.2,10.4,10.8,9.9,40.2,41.4,39.1,77.4,76.8,78.1,74.5,73.7,75.4,17.9,16.1,19.8,15.8,13.9,17.6,13.1,11.3,14.9,6.6,5.2,8.1,36.1,34.8,37.5,98.1,(X),(X),62.8,(X),(X),21.3,(X),(X),41.5,(X),(X),0.2,(X),(X),0.8,(X),(X)
2010,0400000US21,Kentucky,4285828,2105483,2180345,6.5,6.8,6.2,6.5,6.8,6.3,6.7,7,6.3,7,7.3,6.7,6.7,7,6.5,6.6,6.8,6.5,6.4,6.6,6.2,6.8,6.9,6.6,7.1,7.3,7,7.6,7.6,7.5,7.2,7.2,7.3,6.5,6.5,6.6,5.4,5.2,5.5,4,3.9,4.2,3.2,2.9,3.5,2.4,2.1,2.8,1.8,1.4,2.2,1.6,0.9,2.2,13.2,13.8,12.6,4.1,4.3,3.9,9.6,9.9,9.2,40.6,41.7,39.5,79,78,79.9,76.2,75.1,77.3,18.4,16.5,20.3,16.1,14.2,17.9,13.1,11.3,14.8,5.8,4.4,7.2,37.7,36.3,39,96.6,(X),(X),58.4,(X),(X),20.7,(X),(X),37.7,(X),(X),0.2,(X),(X),0.6,(X),(X)
2010,0400000US22,Louisiana,4429940,2165456,2264484,6.9,7.2,6.6,6.8,7.1,6.6,6.8,7.2,6.5,7.4,7.7,7.2,7.5,7.8,7.3,7.2,7.3,7,6.2,6.3,6.1,6.3,6.4,6.2,6.8,6.8,6.8,7.4,7.4,7.4,7.2,7.2,7.2,6.2,6.1,6.3,5.1,5,5.2,3.7,3.6,3.9,2.9,2.7,3.2,2.3,2,2.6,1.7,1.3,2.1,1.4,0.9,2,13.7,14.3,13.1,4.4,4.6,4.2,10.6,10.9,10.3,41.4,42.3,40.6,78,77,79,75.1,73.9,76.1,17.2,15.5,18.9,15,13.3,16.6,12.1,10.5,13.7,5.4,4.2,6.6,35.9,34.5,37.3,95.6,(X),(X),58.9,(X),(X),19.3,(X),(X),39.6,(X),(X),0.2,(X),(X),1,(X),(X)
2010,0400000US23,Maine,1327665,649666,677999,5.3,5.6,5,5.6,5.9,5.3,6.2,6.5,6,6.9,7.3,6.6,6,6.2,5.8,5.4,5.5,5.3,5.4,5.5,5.4,6.4,6.5,6.3,7.3,7.3,7.3,8.3,8.3,8.3,8.2,8.2,8.2,7.4,7.5,7.4,6.2,6.2,6.2,4.5,4.4,4.6,3.5,3.4,3.6,3,2.7,3.3,2.3,1.8,2.7,2,1.3,2.7,11.8,12.4,11.3,4.1,4.3,3.9,8.8,9.1,8.5,37.5,38.3,36.8,81.6,80.7,82.4,78.8,77.7,79.8,21.5,19.8,23.2,18.8,17.1,20.5,15.3,13.5,17,7.3,5.8,8.8,42,40.8,43.1,95.8,(X),(X),57.5,(X),(X),24.1,(X),(X),33.4,(X),(X),0.1,(X),(X),0.7,(X),(X)
2010,0400000US24,Maryland,5696423,2754058,2942365,6.4,6.8,6.1,6.4,6.7,6.1,6.7,7.1,6.3,7.2,7.7,6.8,6.7,7.1,6.4,6.7,6.8,6.6,6.3,6.3,6.2,7,6.9,7,7.7,7.6,7.7,8.1,8,8.1,7.4,7.3,7.5,6.4,6.3,6.5,5.1,5,5.3,3.6,3.5,3.7,2.7,2.5,3,2.2,1.9,2.5,1.7,1.4,2.1,1.6,1,2.1,13.1,13.8,12.5,4.4,4.6,4.1,9.6,10.1,9.1,41.5,42.4,40.8,79.1,77.9,80.1,76.1,74.8,77.3,17,15.4,18.6,14.7,13.1,16.2,11.9,10.3,13.3,5.5,4.3,6.7,37.6,36.1,38.9,93.6,(X),(X),55.8,(X),(X),18.5,(X),(X),37.2,(X),(X),0.2,(X),(X),1.1,(X),(X)
