,State_Name,Cost,Code,Item,Year
39,New Jersey,15961,1,Medicare/Personal Health Care (Millions of Dollars),2010
40,New Mexico,2593,1,Medicare/Personal Health Care (Millions of Dollars),2010
41,New York,34949,1,Medicare/Personal Health Care (Millions of Dollars),2010
42,North Carolina,14770,1,Medicare/Personal Health Care (Millions of Dollars),2010
43,North Dakota,871,1,Medicare/Personal Health Care (Millions of Dollars),2010
44,Ohio,19936,1,Medicare/Personal Health Care (Millions of Dollars),2010
45,Oklahoma,6178,1,Medicare/Personal Health Care (Millions of Dollars),2010
46,Oregon,5165,1,Medicare/Personal Health Care (Millions of Dollars),2010
47,Pennsylvania,24457,1,Medicare/Personal Health Care (Millions of Dollars),2010
48,Rhode Island,1888,1,Medicare/Personal Health Care (Millions of Dollars),2010
49,South Carolina,7611,1,Medicare/Personal Health Care (Millions of Dollars),2010
50,South Dakota,1113,1,Medicare/Personal Health Care (Millions of Dollars),2010
51,Tennessee,10717,1,Medicare/Personal Health Care (Millions of Dollars),2010
52,Texas,35000,1,Medicare/Personal Health Care (Millions of Dollars),2010
53,Utah,2384,1,Medicare/Personal Health Care (Millions of Dollars),2010
54,Vermont,976,1,Medicare/Personal Health Care (Millions of Dollars),2010
55,Virginia,10140,1,Medicare/Personal Health Care (Millions of Dollars),2010
56,Washington,8215,1,Medicare/Personal Health Care (Millions of Dollars),2010
57,West Virginia,3597,1,Medicare/Personal Health Care (Millions of Dollars),2010
58,Wisconsin,8106,1,Medicare/Personal Health Care (Millions of Dollars),2010
59,Wyoming,676,1,Medicare/Personal Health Care (Millions of Dollars),2010
69,Alabama,3410,2,Medicare/Hospital Care (Millions of Dollars),2010
70,Alaska,335,2,Medicare/Hospital Care (Millions of Dollars),2010
71,Arizona,3953,2,Medicare/Hospital Care (Millions of Dollars),2010
72,Arkansas,2311,2,Medicare/Hospital Care (Millions of Dollars),2010
73,California,22893,2,Medicare/Hospital Care (Millions of Dollars),2010
74,Colorado,2415,2,Medicare/Hospital Care (Millions of Dollars),2010
75,Connecticut,2752,2,Medicare/Hospital Care (Millions of Dollars),2010
76,Delaware,715,2,Medicare/Hospital Care (Millions of Dollars),2010
77,District of Columbia,459,2,Medicare/Hospital Care (Millions of Dollars),2010
78,Florida,15435,2,Medicare/Hospital Care (Millions of Dollars),2010
79,Georgia,5467,2,Medicare/Hospital Care (Millions of Dollars),2010
80,Hawaii,716,2,Medicare/Hospital Care (Millions of Dollars),2010
81,Idaho,848,2,Medicare/Hospital Care (Millions of Dollars),2010
82,Illinois,9259,2,Medicare/Hospital Care (Millions of Dollars),2010
83,Indiana,4636,2,Medicare/Hospital Care (Millions of Dollars),2010
84,Iowa,2315,2,Medicare/Hospital Care (Millions of Dollars),2010
85,Kansas,2068,2,Medicare/Hospital Care (Millions of Dollars),2010
86,Kentucky,3623,2,Medicare/Hospital Care (Millions of Dollars),2010
87,Louisiana,3801,2,Medicare/Hospital Care (Millions of Dollars),2010
88,Maine,1165,2,Medicare/Hospital Care (Millions of Dollars),2010
89,Maryland,4741,2,Medicare/Hospital Care (Millions of Dollars),2010
90,Massachusetts,5895,2,Medicare/Hospital Care (Millions of Dollars),2010
91,Michigan,8554,2,Medicare/Hospital Care (Millions of Dollars),2010
92,Minnesota,3692,2,Medicare/Hospital Care (Millions of Dollars),2010
93,Mississippi,2574,2,Medicare/Hospital Care (Millions of Dollars),2010
94,Missouri,4667,2,Medicare/Hospital Care (Millions of Dollars),2010
95,Montana,705,2,Medicare/Hospital Care (Millions of Dollars),2010
96,Nebraska,1364,2,Medicare/Hospital Care (Millions of Dollars),2010
97,Nevada,1586,2,Medicare/Hospital Care (Millions of Dollars),2010
98,New Hampshire,1003,2,Medicare/Hospital Care (Millions of Dollars),2010
99,New Jersey,6915,2,Medicare/Hospital Care (Millions of Dollars),2010
100,New Mexico,1170,2,Medicare/Hospital Care (Millions of Dollars),2010
101,New York,16427,2,Medicare/Hospital Care (Millions of Dollars),2010
102,North Carolina,6626,2,Medicare/Hospital Care (Millions of Dollars),2010
103,North Dakota,511,2,Medicare/Hospital Care (Millions of Dollars),2010
104,Ohio,9158,2,Medicare/Hospital Care (Millions of Dollars),2010
105,Oklahoma,2866,2,Medicare/Hospital Care (Millions of Dollars),2010
106,Oregon,2283,2,Medicare/Hospital Care (Millions of Dollars),2010
107,Pennsylvania,11174,2,Medicare/Hospital Care (Millions of Dollars),2010
108,Rhode Island,843,2,Medicare/Hospital Care (Millions of Dollars),2010
109,South Carolina,3430,2,Medicare/Hospital Care (Millions of Dollars),2010
110,South Dakota,623,2,Medicare/Hospital Care (Millions of Dollars),2010
111,Tennessee,4385,2,Medicare/Hospital Care (Millions of Dollars),2010
112,Texas,14808,2,Medicare/Hospital Care (Millions of Dollars),2010
113,Utah,948,2,Medicare/Hospital Care (Millions of Dollars),2010
114,Vermont,561,2,Medicare/Hospital Care (Millions of Dollars),2010
115,Virginia,4609,2,Medicare/Hospital Care (Millions of Dollars),2010
116,Washington,3893,2,Medicare/Hospital Care (Millions of Dollars),2010
117,West Virginia,1793,2,Medicare/Hospital Care (Millions of Dollars),2010
118,Wisconsin,3997,2,Medicare/Hospital Care (Millions of Dollars),2010
119,Wyoming,384,2,Medicare/Hospital Care (Millions of Dollars),2010
129,Alabama,2153,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
130,Alaska,103,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
131,Arizona,2518,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
132,Arkansas,1028,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
133,California,14995,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
134,Colorado,1414,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
135,Connecticut,1437,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
136,Delaware,351,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
137,District of Columbia,193,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
138,Florida,12271,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
139,Georgia,3110,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
140,Hawaii,476,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
141,Idaho,394,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
142,Illinois,4201,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
143,Indiana,2151,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
144,Iowa,837,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
145,Kansas,875,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
146,Kentucky,1470,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
147,Louisiana,1762,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
148,Maine,375,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
149,Maryland,1985,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
150,Massachusetts,2297,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
151,Michigan,4060,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
152,Minnesota,1352,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
153,Mississippi,1084,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
154,Missouri,2149,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
155,Montana,238,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
156,Nebraska,503,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
157,Nevada,958,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
158,New Hampshire,322,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
159,New Jersey,4181,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
160,New Mexico,620,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
161,New York,8754,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
162,North Carolina,3497,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
163,North Dakota,141,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
164,Ohio,4530,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
165,Oklahoma,1223,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
166,Oregon,1390,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
167,Pennsylvania,5776,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
168,Rhode Island,412,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
169,South Carolina,1832,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
170,South Dakota,196,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
171,Tennessee,2570,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
172,Texas,8361,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
173,Utah,597,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
174,Vermont,121,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
175,Virginia,2420,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
176,Washington,1938,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
177,West Virginia,697,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
178,Wisconsin,1715,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
179,Wyoming,120,3,Medicare/Physician & Clinical Services (Millions of Dollars),2010
189,Alabama,215,4,Medicare/Other Professional Services (Millions of Dollars),2010
190,Alaska,18,4,Medicare/Other Professional Services (Millions of Dollars),2010
191,Arizona,340,4,Medicare/Other Professional Services (Millions of Dollars),2010
192,Arkansas,123,4,Medicare/Other Professional Services (Millions of Dollars),2010
193,California,1698,4,Medicare/Other Professional Services (Millions of Dollars),2010
194,Colorado,181,4,Medicare/Other Professional Services (Millions of Dollars),2010
195,Connecticut,186,4,Medicare/Other Professional Services (Millions of Dollars),2010
196,Delaware,47,4,Medicare/Other Professional Services (Millions of Dollars),2010
197,District of Columbia,14,4,Medicare/Other Professional Services (Millions of Dollars),2010
198,Florida,1381,4,Medicare/Other Professional Services (Millions of Dollars),2010
199,Georgia,304,4,Medicare/Other Professional Services (Millions of Dollars),2010
200,Hawaii,51,4,Medicare/Other Professional Services (Millions of Dollars),2010
201,Idaho,60,4,Medicare/Other Professional Services (Millions of Dollars),2010
202,Illinois,479,4,Medicare/Other Professional Services (Millions of Dollars),2010
203,Indiana,212,4,Medicare/Other Professional Services (Millions of Dollars),2010
204,Iowa,124,4,Medicare/Other Professional Services (Millions of Dollars),2010
205,Kansas,120,4,Medicare/Other Professional Services (Millions of Dollars),2010
206,Kentucky,169,4,Medicare/Other Professional Services (Millions of Dollars),2010
207,Louisiana,187,4,Medicare/Other Professional Services (Millions of Dollars),2010
208,Maine,68,4,Medicare/Other Professional Services (Millions of Dollars),2010
209,Maryland,204,4,Medicare/Other Professional Services (Millions of Dollars),2010
210,Massachusetts,356,4,Medicare/Other Professional Services (Millions of Dollars),2010
211,Michigan,495,4,Medicare/Other Professional Services (Millions of Dollars),2010
212,Minnesota,194,4,Medicare/Other Professional Services (Millions of Dollars),2010
213,Mississippi,104,4,Medicare/Other Professional Services (Millions of Dollars),2010
214,Missouri,258,4,Medicare/Other Professional Services (Millions of Dollars),2010
215,Montana,38,4,Medicare/Other Professional Services (Millions of Dollars),2010
216,Nebraska,73,4,Medicare/Other Professional Services (Millions of Dollars),2010
217,Nevada,100,4,Medicare/Other Professional Services (Millions of Dollars),2010
218,New Hampshire,56,4,Medicare/Other Professional Services (Millions of Dollars),2010
219,New Jersey,482,4,Medicare/Other Professional Services (Millions of Dollars),2010
220,New Mexico,82,4,Medicare/Other Professional Services (Millions of Dollars),2010
221,New York,1242,4,Medicare/Other Professional Services (Millions of Dollars),2010
222,North Carolina,378,4,Medicare/Other Professional Services (Millions of Dollars),2010
223,North Dakota,26,4,Medicare/Other Professional Services (Millions of Dollars),2010
224,Ohio,512,4,Medicare/Other Professional Services (Millions of Dollars),2010
225,Oklahoma,141,4,Medicare/Other Professional Services (Millions of Dollars),2010
226,Oregon,180,4,Medicare/Other Professional Services (Millions of Dollars),2010
227,Pennsylvania,776,4,Medicare/Other Professional Services (Millions of Dollars),2010
228,Rhode Island,60,4,Medicare/Other Professional Services (Millions of Dollars),2010
229,South Carolina,179,4,Medicare/Other Professional Services (Millions of Dollars),2010
230,South Dakota,31,4,Medicare/Other Professional Services (Millions of Dollars),2010
231,Tennessee,318,4,Medicare/Other Professional Services (Millions of Dollars),2010
232,Texas,884,4,Medicare/Other Professional Services (Millions of Dollars),2010
233,Utah,71,4,Medicare/Other Professional Services (Millions of Dollars),2010
234,Vermont,23,4,Medicare/Other Professional Services (Millions of Dollars),2010
235,Virginia,236,4,Medicare/Other Professional Services (Millions of Dollars),2010
236,Washington,265,4,Medicare/Other Professional Services (Millions of Dollars),2010
237,West Virginia,77,4,Medicare/Other Professional Services (Millions of Dollars),2010
238,Wisconsin,228,4,Medicare/Other Professional Services (Millions of Dollars),2010
239,Wyoming,20,4,Medicare/Other Professional Services (Millions of Dollars),2010
249,Alabama,2,5,Medicare/Dental Services (Millions of Dollars),2010
250,Alaska,0,5,Medicare/Dental Services (Millions of Dollars),2010
251,Arizona,9,5,Medicare/Dental Services (Millions of Dollars),2010
252,Arkansas,2,5,Medicare/Dental Services (Millions of Dollars),2010
253,California,31,5,Medicare/Dental Services (Millions of Dollars),2010
254,Colorado,5,5,Medicare/Dental Services (Millions of Dollars),2010
255,Connecticut,1,5,Medicare/Dental Services (Millions of Dollars),2010
256,Delaware,0,5,Medicare/Dental Services (Millions of Dollars),2010
257,District of Columbia,0,5,Medicare/Dental Services (Millions of Dollars),2010
258,Florida,43,5,Medicare/Dental Services (Millions of Dollars),2010
259,Georgia,4,5,Medicare/Dental Services (Millions of Dollars),2010
260,Hawaii,2,5,Medicare/Dental Services (Millions of Dollars),2010
261,Idaho,0,5,Medicare/Dental Services (Millions of Dollars),2010
262,Illinois,3,5,Medicare/Dental Services (Millions of Dollars),2010
263,Indiana,2,5,Medicare/Dental Services (Millions of Dollars),2010
264,Iowa,0,5,Medicare/Dental Services (Millions of Dollars),2010
265,Kansas,1,5,Medicare/Dental Services (Millions of Dollars),2010
266,Kentucky,1,5,Medicare/Dental Services (Millions of Dollars),2010
267,Louisiana,4,5,Medicare/Dental Services (Millions of Dollars),2010
268,Maine,1,5,Medicare/Dental Services (Millions of Dollars),2010
269,Maryland,2,5,Medicare/Dental Services (Millions of Dollars),2010
270,Massachusetts,2,5,Medicare/Dental Services (Millions of Dollars),2010
271,Michigan,7,5,Medicare/Dental Services (Millions of Dollars),2010
272,Minnesota,3,5,Medicare/Dental Services (Millions of Dollars),2010
273,Mississippi,1,5,Medicare/Dental Services (Millions of Dollars),2010
274,Missouri,4,5,Medicare/Dental Services (Millions of Dollars),2010
275,Montana,0,5,Medicare/Dental Services (Millions of Dollars),2010
276,Nebraska,0,5,Medicare/Dental Services (Millions of Dollars),2010
277,Nevada,1,5,Medicare/Dental Services (Millions of Dollars),2010
278,New Hampshire,0,5,Medicare/Dental Services (Millions of Dollars),2010
279,New Jersey,4,5,Medicare/Dental Services (Millions of Dollars),2010
280,New Mexico,1,5,Medicare/Dental Services (Millions of Dollars),2010
281,New York,31,5,Medicare/Dental Services (Millions of Dollars),2010
282,North Carolina,4,5,Medicare/Dental Services (Millions of Dollars),2010
283,North Dakota,0,5,Medicare/Dental Services (Millions of Dollars),2010
284,Ohio,6,5,Medicare/Dental Services (Millions of Dollars),2010
285,Oklahoma,1,5,Medicare/Dental Services (Millions of Dollars),2010
286,Oregon,2,5,Medicare/Dental Services (Millions of Dollars),2010
287,Pennsylvania,15,5,Medicare/Dental Services (Millions of Dollars),2010
288,Rhode Island,1,5,Medicare/Dental Services (Millions of Dollars),2010
289,South Carolina,3,5,Medicare/Dental Services (Millions of Dollars),2010
290,South Dakota,0,5,Medicare/Dental Services (Millions of Dollars),2010
291,Tennessee,8,5,Medicare/Dental Services (Millions of Dollars),2010
292,Texas,19,5,Medicare/Dental Services (Millions of Dollars),2010
293,Utah,3,5,Medicare/Dental Services (Millions of Dollars),2010
294,Vermont,0,5,Medicare/Dental Services (Millions of Dollars),2010
295,Virginia,4,5,Medicare/Dental Services (Millions of Dollars),2010
296,Washington,4,5,Medicare/Dental Services (Millions of Dollars),2010
297,West Virginia,1,5,Medicare/Dental Services (Millions of Dollars),2010
298,Wisconsin,3,5,Medicare/Dental Services (Millions of Dollars),2010
299,Wyoming,0,5,Medicare/Dental Services (Millions of Dollars),2010
309,Alabama,717,6,Medicare/Home Health Care (Millions of Dollars),2010
310,Alaska,15,6,Medicare/Home Health Care (Millions of Dollars),2010
311,Arizona,605,6,Medicare/Home Health Care (Millions of Dollars),2010
312,Arkansas,231,6,Medicare/Home Health Care (Millions of Dollars),2010
313,California,2675,6,Medicare/Home Health Care (Millions of Dollars),2010
314,Colorado,367,6,Medicare/Home Health Care (Millions of Dollars),2010
315,Connecticut,367,6,Medicare/Home Health Care (Millions of Dollars),2010
316,Delaware,115,6,Medicare/Home Health Care (Millions of Dollars),2010
317,District of Columbia,44,6,Medicare/Home Health Care (Millions of Dollars),2010
318,Florida,3602,6,Medicare/Home Health Care (Millions of Dollars),2010
319,Georgia,892,6,Medicare/Home Health Care (Millions of Dollars),2010
320,Hawaii,50,6,Medicare/Home Health Care (Millions of Dollars),2010
321,Idaho,122,6,Medicare/Home Health Care (Millions of Dollars),2010
322,Illinois,1541,6,Medicare/Home Health Care (Millions of Dollars),2010
323,Indiana,505,6,Medicare/Home Health Care (Millions of Dollars),2010
324,Iowa,204,6,Medicare/Home Health Care (Millions of Dollars),2010
325,Kansas,210,6,Medicare/Home Health Care (Millions of Dollars),2010
326,Kentucky,398,6,Medicare/Home Health Care (Millions of Dollars),2010
327,Louisiana,856,6,Medicare/Home Health Care (Millions of Dollars),2010
328,Maine,128,6,Medicare/Home Health Care (Millions of Dollars),2010
329,Maryland,375,6,Medicare/Home Health Care (Millions of Dollars),2010
330,Massachusetts,767,6,Medicare/Home Health Care (Millions of Dollars),2010
331,Michigan,1295,6,Medicare/Home Health Care (Millions of Dollars),2010
332,Minnesota,285,6,Medicare/Home Health Care (Millions of Dollars),2010
333,Mississippi,507,6,Medicare/Home Health Care (Millions of Dollars),2010
334,Missouri,528,6,Medicare/Home Health Care (Millions of Dollars),2010
335,Montana,53,6,Medicare/Home Health Care (Millions of Dollars),2010
336,Nebraska,95,6,Medicare/Home Health Care (Millions of Dollars),2010
337,Nevada,273,6,Medicare/Home Health Care (Millions of Dollars),2010
338,New Hampshire,127,6,Medicare/Home Health Care (Millions of Dollars),2010
339,New Jersey,687,6,Medicare/Home Health Care (Millions of Dollars),2010
340,New Mexico,182,6,Medicare/Home Health Care (Millions of Dollars),2010
341,New York,1219,6,Medicare/Home Health Care (Millions of Dollars),2010
342,North Carolina,815,6,Medicare/Home Health Care (Millions of Dollars),2010
343,North Dakota,14,6,Medicare/Home Health Care (Millions of Dollars),2010
344,Ohio,1149,6,Medicare/Home Health Care (Millions of Dollars),2010
345,Oklahoma,734,6,Medicare/Home Health Care (Millions of Dollars),2010
346,Oregon,269,6,Medicare/Home Health Care (Millions of Dollars),2010
347,Pennsylvania,1252,6,Medicare/Home Health Care (Millions of Dollars),2010
348,Rhode Island,127,6,Medicare/Home Health Care (Millions of Dollars),2010
349,South Carolina,501,6,Medicare/Home Health Care (Millions of Dollars),2010
350,South Dakota,29,6,Medicare/Home Health Care (Millions of Dollars),2010
351,Tennessee,829,6,Medicare/Home Health Care (Millions of Dollars),2010
352,Texas,4119,6,Medicare/Home Health Care (Millions of Dollars),2010
353,Utah,242,6,Medicare/Home Health Care (Millions of Dollars),2010
354,Vermont,54,6,Medicare/Home Health Care (Millions of Dollars),2010
355,Virginia,591,6,Medicare/Home Health Care (Millions of Dollars),2010
356,Washington,387,6,Medicare/Home Health Care (Millions of Dollars),2010
357,West Virginia,178,6,Medicare/Home Health Care (Millions of Dollars),2010
358,Wisconsin,370,6,Medicare/Home Health Care (Millions of Dollars),2010
359,Wyoming,21,6,Medicare/Home Health Care (Millions of Dollars),2010
369,Alabama,1097,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
370,Alaska,68,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
371,Arizona,918,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
372,Arkansas,641,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
373,California,6270,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
374,Colorado,626,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
375,Connecticut,744,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
376,Delaware,192,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
377,District of Columbia,92,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
378,Florida,4396,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
379,Georgia,1626,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
380,Hawaii,235,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
381,Idaho,240,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
382,Illinois,2204,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
383,Indiana,1311,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
384,Iowa,622,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
385,Kansas,549,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
386,Kentucky,1045,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
387,Louisiana,1039,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
388,Maine,340,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
389,Maryland,813,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
390,Massachusetts,1311,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
391,Michigan,1974,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
392,Minnesota,932,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
393,Mississippi,721,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
394,Missouri,1365,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
395,Montana,170,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
396,Nebraska,352,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
397,Nevada,346,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
398,New Hampshire,224,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
399,New Jersey,1899,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
400,New Mexico,317,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
401,New York,4492,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
402,North Carolina,2084,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
403,North Dakota,132,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
404,Ohio,2386,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
405,Oklahoma,778,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
406,Oregon,653,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
407,Pennsylvania,3123,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
408,Rhode Island,236,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
409,South Carolina,953,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
410,South Dakota,154,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
411,Tennessee,1539,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
412,Texas,3809,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
413,Utah,296,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
414,Vermont,136,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
415,Virginia,1261,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
416,Washington,958,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
417,West Virginia,534,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
418,Wisconsin,1019,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
419,Wyoming,80,7,Medicare/Prescription Drugs and Other Non-durable Medical Products (Millions of Dollars),2010
429,Alabama,164,8,Medicare/Durable Medical Products (Millions of Dollars),2010
430,Alaska,5,8,Medicare/Durable Medical Products (Millions of Dollars),2010
431,Arizona,150,8,Medicare/Durable Medical Products (Millions of Dollars),2010
432,Arkansas,108,8,Medicare/Durable Medical Products (Millions of Dollars),2010
